dependency_id,source_id,target_id,dependency_type,latency_ms,traffic_per_day,criticality
DEP-001,APP-PORTAL-001,APP-IDP-001,calls,40,250000,critical
DEP-002,APP-PORTAL-001,APP-PAY-001,calls,90,80000,high
DEP-003,APP-PORTAL-001,DB-PORTAL-001,reads_from,8,500000,high
DEP-004,APP-LOAN-001,APP-IDP-001,calls,50,40000,critical
DEP-005,APP-LOAN-001,APP-RISK-001,calls,300,15000,high
DEP-006,APP-LOAN-001,DB-LOAN-001,writes_to,20,90000,critical
DEP-007,APP-PAY-001,APP-IDP-001,calls,35,120000,critical
DEP-008,APP-PAY-001,DB-PAY-001,writes_to,12,300000,critical
DEP-009,APP-PAY-001,INF-MQ-001,publishes_to,15,200000,high
DEP-010,APP-RISK-001,DB-RISK-001,reads_from,25,60000,high
DEP-011,APP-RISK-001,APP-DWH-001,reads_from,400,5000,medium
DEP-012,APP-NOTIFY-001,APP-IDP-001,calls,45,70000,medium
DEP-013,APP-NOTIFY-001,INF-KAFKA-001,consumes_from,20,150000,medium
DEP-014,APP-REPORT-001,APP-DWH-001,reads_from,500,8000,high
DEP-015,APP-DWH-001,APP-REPORT-001,depends_on,0,100,low
DEP-016,APP-DOCS-001,DB-DOCS-001,writes_to,30,45000,high
DEP-017,APP-DOCS-001,INF-OBJ-001,writes_to,60,20000,high
DEP-018,APP-MF-001,DB-MF-001,reads_from,100,100000,critical
DEP-019,APP-PAY-001,APP-MF-001,calls,700,25000,critical
DEP-020,APP-LOAN-001,APP-MF-001,calls,800,18000,critical
DEP-021,APP-DWH-001,APP-PAY-001,reads_from,0,1,medium
DEP-022,APP-DWH-001,APP-LOAN-001,reads_from,0,1,medium
DEP-ORPHAN-001,APP-REPORT-001,APP-GHOST-404,calls,100,10,low
